coal_A,coal_B,coal_vU,coal_vI,coal_rU,coal_rI,opp_A,opp_B,opp_vU,opp_vI,opp_rU,opp_rI
x2|x3|x5,i1|i3|i4,1|1|1,2|1|0,57,78,x1,i1|i2|i3|i4|i5,1|0|0,2|2|1,49,85
x2|x3|x5,i1|i3|i4,1|1|1,2|1|0,57,78,x1|x6,i1|i2|i4|i5,1|1|0,1|2|1,56,49
x2|x3|x5,i1|i3|i4,1|1|1,2|1|0,57,78,x1|x4|x6,i1|i4,1|1|1,1|1|0,57,42
